fact_key,country_key,quarter_key,product_key,specialty_key,channel_key,feedback_key,product_details,contact_number,mentions,weighted_calls,spending_total_eur,quality_index,converted_contacts
702,3,20241,1,2,18,394,31,31,31,6,366,155,
704,3,20242,1,2,18,394,66,66,66,21,1287,330,
706,3,20243,1,2,18,394,66,66,66,15,892,330,
709,3,20251,1,2,18,394,34,34,34,10,619,170,
711,3,20252,1,2,18,394,34,34,34,10,626,170,
713,3,20253,1,2,18,394,31,31,31,16,958,155,
715,3,20254,1,2,18,394,39,39,39,8,486,195,
716,3,20261,1,2,18,394,59,59,59,30,1841,295,
717,3,20232,1,2,19,30,26,26,26,26,1008,-130,26.0
720,3,20241,1,2,19,171,31,31,31,31,1217,0,31.0
721,3,20261,1,2,19,173,29,29,29,29,1204,0,29.0
722,3,20222,1,2,19,267,29,29,29,29,1074,0,
723,3,20242,1,2,19,267,33,33,33,33,1316,0,
726,3,20231,1,2,19,292,26,26,26,8,297,130,26.0
728,3,20232,1,2,19,292,26,26,26,5,202,130,26.0
730,3,20233,1,2,19,292,27,27,27,27,1049,135,27.0
732,3,20234,1,2,19,292,28,28,28,11,443,140,28.0
734,3,20241,1,2,19,292,31,31,31,12,487,155,31.0
736,3,20243,1,2,19,297,33,33,33,33,1318,165,33.0
738,3,20221,1,2,19,300,28,28,28,17,592,140,28.0
740,3,20222,1,2,19,300,29,29,29,17,645,145,29.0
741,3,20223,1,2,19,300,28,28,28,14,526,140,28.0
742,3,20223,1,2,19,337,28,28,28,28,1053,140,28.0
743,3,20231,1,2,19,381,26,26,26,26,989,130,26.0
750,3,20222,1,2,20,267,29,29,29,29,541,0,
758,3,20221,1,2,20,390,28,28,28,28,496,140,
763,3,20224,1,2,21,256,26,26,26,26,745,0,26.0
766,3,20261,1,2,21,295,29,29,29,29,905,145,29.0
767,3,20222,1,2,21,296,29,29,29,29,808,145,29.0
772,3,20224,1,2,21,297,26,26,26,26,745,130,26.0
778,3,20243,1,2,21,297,33,33,33,33,990,165,33.0
780,3,20251,1,2,21,297,68,68,68,68,2060,340,68.0
782,3,20233,1,2,21,298,27,27,27,27,789,135,27.0
783,3,20252,1,2,21,298,34,34,34,34,1043,170,34.0
784,3,20261,1,2,21,298,30,30,30,30,935,150,30.0
788,3,20221,1,2,21,300,28,28,28,28,741,140,28.0
790,3,20242,1,2,21,300,33,33,33,33,990,165,33.0
791,3,20243,1,2,21,300,33,33,33,33,990,165,33.0
793,3,20244,1,2,21,300,33,33,33,33,1006,165,33.0
795,3,20251,1,2,21,300,68,68,68,68,2060,340,68.0
797,3,20252,1,2,21,300,34,34,34,34,1043,170,34.0
798,3,20253,1,2,21,300,31,31,31,31,958,155,31.0
799,3,20254,1,2,21,300,39,39,39,39,1215,195,39.0
