portfolio_key,portfolio_name,atc4_raw,atc4_code,atc4_description,corporation_group,molecule_list,molecule_count,is_combo_molecule,has_sales,has_promo,has_finance,is_common_three_worlds
78,BISOPROLOL KRKA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KRKA,BISOPROLOL,1,False,False,True,False,False
79,BISOPROLOLO KRK,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KRKA,BISOPROLOL,1,False,False,True,False,False
80,METAZERO XR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KRKA,METOPROLOL,1,False,False,True,False,False
81,NEBIVOLOLO KRK,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",KRKA,NEBIVOLOL,1,False,False,True,False,False
82,KERLONE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LAVIPHARM,BETAXOLOL,1,False,False,True,False,False
83,HYPOLOC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,False,True,False,False
84,LOBIVON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,False,True,False,False
85,NEBILOX,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,False,True,False,False
86,NOBISTAR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,False,True,False,False
87,SILOSTAR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MENARINI,NEBIVOLOL,1,False,False,True,False,False
88,CARDICOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,False,True,False,False
89,CONCOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,False,True,False,False
90,CONGESCOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,False,True,False,False
91,EMCONCOR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,False,True,False,False
92,EMCONCOR COR,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",MERCK KGAA,BISOPROLOL,1,False,False,True,False,False
93,OMERIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEOPHARMED GENTILI,,1,False,False,True,False,False
94,ATENOLOL NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NORMON,ATENOLOL,1,False,False,True,False,False
95,BISOPROLOL NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NORMON,BISOPROLOL,1,False,False,True,False,False
96,CARVEDILOL NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NORMON,CARVEDILOL,1,False,False,True,False,False
97,NEBIVOLOL NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NORMON,NEBIVOLOL,1,False,False,True,False,False
