product_key,portfolio_key,product_label,local_brand_name,int_corporation_name,corporation_group,atc4_raw,atc4_code,atc4_description,molecule_combo,molecule_count,is_combo_molecule,has_not_coded_molecule
78,80,METAZERO XR,METAZERO XR,KRKA,KRKA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
79,81,NEBIVOLOLO KRK,NEBIVOLOLO KRK,KRKA,KRKA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
80,82,KERLONE,KERLONE,LAVIPHARM,LAVIPHARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BETAXOLOL,1,False,False
81,83,HYPOLOC,HYPOLOC,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
82,84,LOBIVON,LOBIVON,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
83,85,NEBILOX,NEBILOX,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
84,86,NOBISTAR,NOBISTAR,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
85,87,SILOSTAR,SILOSTAR,MENARINI,MENARINI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
86,88,CARDICOR,CARDICOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
87,89,CONCOR,CONCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
88,90,CONGESCOR,CONGESCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
89,91,EMCONCOR,EMCONCOR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
90,92,EMCONCOR COR,EMCONCOR COR,MERCK KGAA,MERCK KGAA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
91,93,OMERIA,OMERIA,NEOPHARMED GENTILI,NEOPHARMED GENTILI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",Not Coded,1,False,True
92,94,ATENOLOL NORMON,ATENOLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
93,95,BISOPROLOL NORMON,BISOPROLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
94,96,CARVEDILOL NORMON,CARVEDILOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
95,97,NEBIVOLOL NORMON,NEBIVOLOL NORMON,NORMON,NORMON,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
96,98,INDERAL,INDERAL,PHARMAIDEA,PHARMAIDEA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
97,99,SUMIAL,SUMIAL,PHARMAIDEA,PHARMAIDEA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
98,100,SUMIAL,SUMIAL,PHARMANOVIA,PHARMANOVIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
99,101,TENORMIN,TENORMIN,PHARMANOVIA,PHARMANOVIA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
100,102,NOZAC,NOZAC,PHARMAZAC,PHARMAZAC,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
101,103,HEMANGIOL,HEMANGIOL,PIERRE FABRE,PIERRE FABRE,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",PROPRANOLOL,1,False,False
102,104,CARAVEL,CARAVEL,PROSPA,PROSPA,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
103,105,ERVIDOL,ERVIDOL,RAFARM,RAFARM,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
104,106,BELOKEN,BELOKEN,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
105,107,LOPRESOR,LOPRESOR,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
106,108,SELOKEN,SELOKEN,RECORDATI,RECORDATI,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
107,109,COROPRES,COROPRES,RUBIO,RUBIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
108,110,SOTAPOR,SOTAPOR,RUBIO,RUBIO,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",SOTALOL,1,False,False
109,111,COLVER,COLVER,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
110,112,CORDIAX,CORDIAX,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CELIPROLOL,1,False,False
111,113,LOCARD,LOCARD,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
112,114,NEBICARD,NEBICARD,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
113,115,TENOMAX,TENOMAX,S.F.GROUP,S.F.GROUP,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
114,116,LABETALOLO SAL,LABETALOLO SAL,SALF,SALF,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",LABETALOL,1,False,False
115,117,ATENOLOL SANDOZ,ATENOLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",ATENOLOL,1,False,False
116,118,BISOPROLOL COR SAN,BISOPROLOL COR SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
117,119,BISOPROLOL SANDOZ,BISOPROLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
118,120,BISOPROLOLO SAN,BISOPROLOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",BISOPROLOL,1,False,False
119,121,CARVEDILOL SANDOZ,CARVEDILOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
120,122,CARVEDILOLO HEX,CARVEDILOLO HEX,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
121,123,CARVEDILOLO SAN,CARVEDILOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",CARVEDILOL,1,False,False
122,124,METOPROLOLO HEX,METOPROLOLO HEX,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",METOPROLOL,1,False,False
123,125,NEBIVOLOL SANDOZ,NEBIVOLOL SANDOZ,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
124,126,NEBIVOLOLO SAN,NEBIVOLOLO SAN,SANDOZ,SANDOZ,"C07A0 - B-BLOCKING AGENTS,PLAIN",C07A0,"B-BLOCKING AGENTS,PLAIN",NEBIVOLOL,1,False,False
